"","text","creation_time","isRetweet","retweet_count","favoite_count","user"
"25","This is what happens when u miss golden chances",2016-10-23 20:24:56,FALSE,0,0,"Shahrukh_SM11"
"26","As expected",2016-10-23 20:24:22,FALSE,0,0,"Shahrukh_SM11"
"27","ShahrukhSM Not watching the game",2016-10-23 20:21:24,FALSE,0,0,"bleedblaugrana_"
"28"," bharat boycott aamir salman saif shahrukhmbhatt karan all anti hindu we have to punish dem as no justice m secullar PMCJ…",2016-10-23 20:15:51,TRUE,13,0,"2012_bharat"
"29","Shahrukh Khan Dialogue Ringtone Free Download httpstcoBelqtapFT httpstcoMTfVKIWjtq",2016-10-23 20:15:33,FALSE,0,0,"latestvid"
"30","bleedblaugrana what u think will be the final result bro  Or RM win ",2016-10-23 20:15:13,FALSE,0,0,"Shahrukh_SM11"
"31"," SRKsSoul  of people in the world recognize India as a country that Shahrukh lives in <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61>

BHARAT KI SHAAN SHAH RUKH KHAN httpstc…",2016-10-23 20:06:17,TRUE,114,0,"iamsunnyyyy"
"32","iamsrk Shahrukh Goodnight and youre always better httpstcosLKIvxBzfJ",2016-10-23 20:04:45,FALSE,0,0,"MayaNasry2"
"33","Its time I should stop caring",2016-10-23 20:04:08,FALSE,0,0,"Shahrukh_Ali20"
"34"," ShahRukhxKajol ShahRukh x Kajol
When the whole world stood up and clapped for my SRKajol<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E64>I couldnt be prouder<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38>This is something I wil…",2016-10-23 20:01:32,TRUE,8,0,"DasSushmita"
"35"," ShahRukhxKajol ShahRukh x Kajol
When the whole world stood up and clapped for my SRKajol<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E64>I couldnt be prouder<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38>This is something I wil…",2016-10-23 19:59:24,TRUE,8,0,"Ilham_LoLo_2002"
"36"," ShahRukhxKajol ShahRukh x Kajol
When the whole world stood up and clapped for my SRKajol<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E64>I couldnt be prouder<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38>This is something I wil…",2016-10-23 19:57:32,TRUE,8,0,"Ams048"
"37","iamsrk Shahrukh Sir I love you",2016-10-23 19:55:37,FALSE,0,0,"sofiyanahmad11"
"38"," jperkovic Nah that was the chance They are definitely losing this now",2016-10-23 19:54:30,TRUE,8,0,"Shahrukh_SM11"
"39","Bilbao will pay for their golden chance misses",2016-10-23 19:54:15,FALSE,0,1,"Shahrukh_SM11"
"40","Willaims <ed><U+00A0><U+00BD><ed><U+00B8><U+0096><ed><U+00A0><U+00BD><ed><U+00B8><U+0096><ed><U+00A0><U+00BD><ed><U+00B8><U+0096>",2016-10-23 19:53:52,FALSE,0,1,"Shahrukh_SM11"
"41","Stupid",2016-10-23 19:53:38,FALSE,0,1,"Shahrukh_SM11"
"42"," ShahRukhxKajol ShahRukh x Kajol
When the whole world stood up and clapped for my SRKajol<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E64>I couldnt be prouder<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38>This is something I wil…",2016-10-23 19:52:48,TRUE,8,0,"marwasezin"
"43"," YandalYasemin Abba  The Winner Takes It All  iamsrk Dear Shahrukh my friends from SRKTurkeyFCCFC come to u Wish all of u luck htt…",2016-10-23 19:50:17,TRUE,2,0,"akhan127"
"44","Experience Bengal ads featuring Shahrukh Khan to launch soon  The Indian Express  httpstcoaWubqvtY… httpstcooQjSMZCg",2016-10-23 19:49:02,FALSE,0,0,"KKKKiranDotCom"
"45"," YandalYasemin Abba  The Winner Takes It All  iamsrk Dear Shahrukh my friends from SRKTurkeyFCCFC come to u Wish all of u luck htt…",2016-10-23 19:46:34,TRUE,2,0,"AsmaMnh16"
"46","ShahRukh x Kajol
When the whole world stood up and clapped for my SRKajol<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E64>I couldnt be prouder<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38>This is something I… httpstcoAWDyQFHxKa",2016-10-23 19:46:03,FALSE,8,11,"ShahRukhxKajol"
"47","ErikaKaar will u marey meI knoW  that m not shahrukh khanSRKBUT m fan of shahrukh will u pls replied mee a once madfan luv u",2016-10-23 19:44:13,FALSE,0,1,"imakasharyan"
"48","iamsrk Shahrukh sir waiting for ur Best wishes on my bday please Reply krdo aaj to 
I love uh alot <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38>",2016-10-23 19:39:09,FALSE,0,0,"Imsrk_fan_paul"
"49","Watch Dear Zindagi First Teaser Released – Take  Life Is A Game … httpstcoCPRLKdX httpstcoidCWNOclSd",2016-10-23 19:37:30,FALSE,0,0,"songs6in"
